name,calories,protein,fats,carbs,fiber,Ca(mg),Fe,Mg,P,K,Na,Zn,Cu,Mn,I(ug),Se,Mo,Vit D,Vit B6,Vit B12,Vit C
bleached enriched AP wheat flour,366,10.9,1.48,77.3,0,19,5.62,26.7,108,136,2,0.72,0.155,0.758,0,15.7,37.6,0,0.066,0,0
unbleached enriched AP wheat flour,359,13.1,1.48,73.2,0,21,5.41,33.3,115,135,4,0.9,0.172,0.875,0,14.2,27.7,0,0.079,0,0
unbleached unenriched AP wheat flour,362,12,1.7,74.6,3,22,1.18,36.1,134,150,2,1.15,0.212,0.819,0,20.1,42.6,0,0.085,0,0
unenriched whole wheat flour,370,15.1,2.73,71.2,10.6,38,3.86,136,352,376,3,3.24,0.452,3.56,0,23.6,58.5,0,0.268,0,0
fonio,369,7.17,1.69,81.3,2.2,12,2.66,39.1,93,44,3,1.85,0.36,0.418,0,0,0,0,0.025,0,0
khorasan,371,14.8,2.8,71.8,10.5,24,3.87,130,371,450,4,4.46,0.594,3.26,0,0,0,0,0.258,0,0
millet,376,10,4.19,74.4,2.6,9,2.53,106,258,214,2.5,2.26,0.488,0.924,0,23.1,29.5,0,0.192,0,0
black rice,370,7.57,3.44,77.2,4.2,14,1.12,113,307,256,2.5,1.72,0.21,3.91,0,0,0,0,0.202,0,0
red rice,370,8.56,3.44,76.2,4.2,9,1.2,126,314,245,16,2.56,0.269,2.63,0,0,0,0,0.0137,0,0
white rice,359,7.04,1.03,80.3,0.1,4,0.14,26.5,108,82,0,1.35,0.214,0.981,0,6.6,64.2,0,0.058,0,0
sorghum bran,403,11.2,9.26,68.7,35,62,14.2,274,517,852,3,4.4,0.841,3.81,0,0,0,0,0.408,0,0
sorghum flour,364,10.2,3.24,73.5,3.3,8,2.22,107,246,274,2.5,1.32,0.214,1.18,0,0,0,0,0.133,0,0
sorghum grain,370,10.2,3.26,74.9,3.9,7,2.04,109,243,274,2.5,1.28,0.208,1.18,0,0,0,0,0.144,0,0
sorghum while grain,373,10.1,4.22,73.6,8.3,15,3.9,136,294,367,0,1.77,0.3,1.54,0,0,0,0,0.191,0,0
wild rice,369,12.8,1.7,75.7,4.3,8,1.53,108,355,29,16,5.84,0.487,1.32,0,0,0,0,0.393,0,0
chestnut flour,385,5.29,4.64,80.4,8.7,56,1.62,68.8,134,1030,2.5,1.04,0.581,2.9,0,3,0,0,0,0,4
coconut flour,438,16.1,15.3,58.9,34.2,36,8.02,248,507,2090,47,3.7,2.08,5.29,0,26.8,0,0,0,0,0
almonds,626,21.4,51.1,20,10.8,254,3.74,258,503,733,2.5,2.86,0.91,2.15,0,0,45.3,0,0.101,0,0
cashews,565,17.4,38.9,36.3,4.1,42,5.99,251,532,638,5,5.07,2.22,1.95,0,20.7,0,0,0,0,0
hazelnuts,641,13.5,53.5,26.5,8.4,135,3.46,156,321,636,2.5,2.33,1.41,6.06,0,3,0,0,0,0,0
macadamia nuts,712,7.79,64.9,24.1,7.6,53,1.88,107,208,373,2.5,1.2,0.446,11.3,0,32.6,0,0,0,0,0
pecans,750,9.96,73.3,12.7,5.8,55,2.37,103,253,360,2.5,3.93,0.906,2.28,0,0,15.6,0,0.171,0,0
pine nuts,689,15.7,61.3,18.6,3.9,9,5.36,206,540,655,2.5,5.71,1.12,10.2,0,0,3.3,0,0.255,0,0
pistachio,598,20.5,45,27.7,7,117,3.46,110,500,947,2.5,2.18,1.05,1.05,0,23.1,0,0,0,0,0
pumpkin seeds,555,29.9,40,18.7,5.1,37,8.36,500,1150,691,2.5,6.34,1.22,4.12,0,20.5,0,0,0,0,0
vita coco,18,0,0,4.5,0,7.8,0,10,9,195.7,45,0,0,0,0,0,0,0,0,0,17
spinach,27,2.85,0.62,2.41,1.6,68,1.26,92.9,39,582,111,0.45,0.082,0.488,10,2.5,0,0,0.195,0,26.5
kale,43,2.92,1.49,4.42,4.1,254,1.6,32.7,55,348,53,0.39,0.053,0.92,0,0,0,0,0.147,0,93.4
broccoli,39,2.57,0.34,6.27,2.4,46,0.69,21,67,303,36,0.42,0.059,0.197,0,1.6,0,0,0.191,0,91.3
carrots,48,0.94,0.35,10.3,3.1,30,0.15,12.4,40,280,87,0.24,0.061,0.13,0,2.5,0,0,0.146,0,0
green bell peppers,23,0.72,0.11,4.78,0.9,7,0.19,9,17,163,2.49,0.13,0.058,0.1,0,2.5,0,0,0.247,0,99.5
yellow bell peppers,31,0.82,0.12,6.6,1.1,7,0.36,10.3,25,197,2.5,0.19,0.045,0.142,0,2.5,0,0,0.292,0,139
orange bell peppers,32,0.88,0.16,6.7,1,5,0.37,10.4,27,201,2.49,0.24,0.035,0.149,0,0.3,0,0,0.332,0,158
red bell peppers,31,0.9,0.13,6.65,1.2,6,0.35,11,27,213,2.5,0.2,0.04,0.133,0,2.5,0,0,0.303,0,142
tomato,22,0.7,0.42,3.84,1,10,0.1,8.1,19,193,2.5,0.08,0.032,0.087,0,2.5,0,0,0.079,0,17.8
zucchini,19,0.98,0.2,3.27,0.8,21,0.19,15.3,33,226,2.5,0.26,0.064,1.49,0,0,0,0,0,0,15
portabella mushrooms,32,2.75,0.31,4.66,1.9,3,0.14,9,87,349,5,0.39,0.203,0.049,0,14.7,0,0,0.097,0,0
